Part,Quantity,Price,Link
XIAO RP2040,1,$6.52,https://mauser.pt/095-0493
0.96 Oled,1,$3.97,https://aliexpress.com/item/1005009896415869.html
TTP223 Sensor,1,$4.01,https://aliexpress.com/item/1005009289350723.html
M2x10 Screws,6,$1.95,https://aliexpress.com/item/1005005618746295.html
3D Printed Parts,4,N/A,N/A
Total,,$16.45,
